id,iva_texto,nombre,codigo_barra,descripcion,tipo_producto,costo,pvp,stock,stock_previo,imagen,fecha_caducidad,control_fecha_caducidad,vendible,visible,descuento,estado,fecha_registro,categoria_id,ice_id,iva_id,presentacion_id,ubicacion_id,utilidad,codigo_principal,costo_utilidad,ubicacion_texto
962,IVA 15 %,FIL. ACE. ADVANCE AO8 FORD EXPLORER F 150 TOYOTA STOUT LAND CRUISER,7862125910069,Desconocido,1,2.28,3.75,1,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 17:24:01.684795,12,Desconocido,1,3.9478260869565216,23.27777777777778,43.02,20GE02228,3.2609,Ubicación no definida
963,IVA 12 %,ACEITE SHELL RIMULA 15W40 LITRO,Desconocido,Desconocido,1,3.8839,5.75,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 17:47:38.504526,3,Desconocido,1,3.0,23.27777777777778,32.18,Desconocido,5.1337,Ubicación no definida
964,IVA 12 %,FRL049 SK CHEVROLET CORSA ALG 4564 FGI012 DIMAX 24,Desconocido,Desconocido,1,2.4,5.0,11,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 18:44:06.804706,12,Desconocido,1,3.9478260869565216,23.27777777777778,86.01,20FG020049,4.4642,Ubicación no definida
965,IVA 12 %,ADVANCE AFP555FRL049  CHEVROLET CORSA D MAX ASTRA VIVANT SAFIRA DAEWOO LANOS VW POLO,Desconocido,Desconocido,1,2.31,5.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 18:44:06.817739,2,Desconocido,1,1.0,23.27777777777778,93.26,20GE020555,4.4643,Ubicación no definida
966,IVA 15 %,"FILTRO DE GASOLINA ADVANCE AFP-704 MAZDA BT50, INY FORD",Desconocido,Desconocido,1,2.15,6.0,6,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 18:44:06.827718,2,Desconocido,1,3.9478260869565216,23.27777777777778,142.67,7862125910618,5.2174,Ubicación no definida
967,IVA 15 %,ADVANCE AFE13070 HINO 300 EURO 5 2014 FUEL,Desconocido,Desconocido,1,5.46,10.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 18:44:06.837887,2,Desconocido,1,3.9478260869565216,23.27777777777778,59.26,AFE0213070,8.6956,Ubicación no definida
968,IVA 12 %,ADVANCE AFE1112 HINO DUTRO 20082012 DUTRO CITY EF1112,Desconocido,Desconocido,1,3.67,8.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 18:44:06.847012,2,Desconocido,1,3.9478260869565216,23.27777777777778,94.63,AFE1112,7.1429,Ubicación no definida
969,IVA 12 %,ADVANCE AO5190 C 1516ISUZU NHR  NKR CHEVROLET ISUZU DOBLE FILTRACION,Desconocido,Desconocido,1,3.54,6.0,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 18:44:06.856862,2,Desconocido,1,3.9478260869565216,23.27777777777778,51.33,20GE025190,5.3571,Ubicación no definida
970,IVA 12 %,ADVANCE AFP573 CHEVROLET AVEO CHEVITAXI OPTRA LANOS SPARK MATIS CON SENSOR,Desconocido,Desconocido,1,2.41,4.5,0,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 18:44:06.867619,2,Desconocido,1,1.0,23.27777777777778,66.72,7862125910403,4.018,Ubicación no definida
971,IVA 12 %,MANNOL 9990 ADITIVO MOTOR DR 350 ML,Desconocido,Desconocido,1,3.48,5.0,4,0,,2022-04-09,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-09 18:55:48.630909,12,Desconocido,1,3.9478260869565216,23.27777777777778,28.28,012MN9990,4.4641,Ubicación no definida
